id,value_a,value_b,value_c
0,313,8.94,-492
1,794,59.99,-1
2,668,86.83,322
3,935,2.23,-217
4,180,60.38,393
5,849,17.18,74
6,566,42.23,-180
7,133,52.03,-185
8,635,47.76,-182
9,461,47.06,-463
10,69,88.94,-205
11,792,74.67,-242
12,224,0.77,219
13,102,55.11,-179
14,88,16.88,-471
15,616,20.21,177
16,426,28.4,-458
17,98,96.42,387
18,922,32.24,406
19,964,29.79,-19
20,823,2.99,317
21,128,24.44,157
22,960,34.98,-306
23,499,56.07,70
24,751,78.62,-133
25,941,74.83,-470
26,4,41.97,42
27,869,55.95,-379
28,277,54.78,-152
29,551,92.14,265
30,241,88.91,27
31,589,23.65,-255
32,806,53.82,-390
33,296,23.84,-118
34,327,60.79,332
35,402,10.21,305
36,303,36.28,-227
37,875,96.05,155
38,16,55.13,194
39,495,74.84,175
40,438,2.01,468
41,435,39.05,133
42,244,96.49,-237
43,106,76.55,14
44,744,90.48,132
45,364,78.63,107
46,495,94.31,200
47,758,90.93,124
48,777,58.2,-270
49,452,67.53,-106
50,519,27.94,-301
51,840,23.87,13
52,464,10.89,-47
53,799,39.74,391
54,59,1.69,50
55,528,72.8,498
56,753,60.43,-351
57,647,68.49,-428
58,852,48.28,-91
59,529,93.98,138
60,269,40.17,-393
61,981,14.14,273
62,872,18.39,404
63,738,75.29,208
64,786,47.81,-349
65,614,5.81,-127
66,478,92.98,293
67,433,57.66,-344
68,386,76.5,75
69,160,42.59,-330
70,372,15.5,-91
71,276,59.6,-128
72,943,66.43,-217
73,746,19.98,380
74,205,44.39,-139
75,166,44.19,-289
76,908,20.93,449
77,742,82.96,343
78,833,70.63,-296
79,168,46.75,111
80,187,25.88,-342
81,406,66.56,371
82,451,41.65,413
83,557,91.52,218
84,756,95.58,193
85,116,69.04,409
86,836,44.22,-109
87,335,61.1,-75
88,519,39.83,274
89,584,42.87,-413
90,537,16.73,347
91,155,71.81,45
92,88,78.34,-135
93,62,9.19,-454
94,364,63.87,-391
95,364,90.27,-186
96,158,95.84,426
97,98,75.07,80
98,551,48.35,-431
99,264,85.9,271
100,923,89.48,213
101,700,5.51,479
102,567,36.85,-348
103,119,71.27,-30
104,590,77.29,387
105,715,12.53,340
106,29,32.4,-434
107,805,75.3,-448
108,462,70.99,-457
109,328,4.53,-482
110,390,77.83,26
111,913,7.78,237
112,277,97.65,-4
113,468,35.55,-70
114,793,3.9,141
115,990,52.14,-415
116,436,35.79,110
117,605,65.34,433
